"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","monk2",84,"5",0,3600,107,4.999999997,0.94047619047619,0.99999999998,4486491,3600,0,0,0,0,0.534883720930233,0.666666666666667,"4",FALSE
"BinOCT","monk2",84,"5",0,3600,107,5.999999997,0.928571428571429,0.999999999983333,3857555,3600,0,0,0,0,0.534883720930233,0.619047619047619,"5",FALSE
"BinOCT","house-votes-84",116,"2",0,3600,101,2.999999998,0.974137931034483,0,1571,0.454755783081055,0,0,0,0,0.948275862068966,0.948275862068966,"1",FALSE
"BinOCT","house-votes-84",116,"2",0,3600,101,3,0.974137931034483,0,1277,0.580438137054443,0,0,0,0,0.982758620689655,0.948275862068966,"2",FALSE
"BinOCT","house-votes-84",116,"2",0,3600,101,4,0.96551724137931,0,1444,0.547679662704468,0,0,0,0,0.931034482758621,0.982758620689655,"3",FALSE
"BinOCT","house-votes-84",116,"2",0,3600,101,2.999999999,0.974137931034483,0,1360,0.424293994903564,0,0,0,0,0.982758620689655,0.948275862068966,"4",FALSE
"BinOCT","house-votes-84",116,"2",0,3600,101,3.999999999,0.96551724137931,0,1641,0.652663946151733,0,0,0,0,0.948275862068966,1,"5",FALSE
"BinOCT","house-votes-84",116,"3",0,3600,102,1,0.991379310344828,0,66454,39.9906425476074,0,0,0,0,0.896551724137931,0.913793103448276,"1",FALSE
"BinOCT","house-votes-84",116,"3",0,3600,102,1,0.991379310344828,6.30002006055957e-08,133386,66.8783149719238,0,0,0,0,0.982758620689655,0.896551724137931,"2",FALSE
"BinOCT","house-votes-84",116,"3",0,3600,102,1,0.991379310344828,0,109607,86.288179397583,0,0,0,0,0.931034482758621,0.982758620689655,"3",FALSE
"BinOCT","house-votes-84",116,"3",0,3600,102,1,0.991379310344828,0,387846,234.091663360596,0,0,0,0,0.896551724137931,0.948275862068966,"4",FALSE
"BinOCT","house-votes-84",116,"3",0,3600,101,2,0.982758620689655,0,661506,477.75918006897,0,0,0,0,0.913793103448276,0.948275862068966,"5",FALSE
"BinOCT","house-votes-84",116,"4",0,3600,101,0,1,0,35575,40.0934715270996,0,0,0,0,0.931034482758621,0.931034482758621,"1",FALSE
"BinOCT","house-votes-84",116,"4",0,3600,101,0,1,0,10504,14.7018158435822,0,0,0,0,0.96551724137931,0.948275862068966,"2",FALSE
"BinOCT","house-votes-84",116,"4",0,3600,101,0,1,0,164538,90.7846312522888,0,0,0,0,0.862068965517241,0.948275862068966,"3",FALSE
"BinOCT","house-votes-84",116,"4",0,3600,107,0.999999999,0.991379310344828,0.9999999999,4616471,3600,0,0,0,0,0.982758620689655,0.948275862068966,"4",FALSE
"BinOCT","house-votes-84",116,"4",0,3600,101,0,1,0,2274131,1789.68612313271,0,0,0,0,0.96551724137931,1,"5",FALSE
